brewery_id,name,cat_id,style_id,abv,brewery_name,latitude,longitude
1312,Kingfisher Premium,North American Lager,American-Style Light Lager,4.8,United Breweries Limited,12.9689,77.5946
1313,Upland Wheat Ale,Other Style,Light American Wheat Ale or Lager,4.5,Upland Brewing,39.1733,-86.5369
1314,Mudcat Stout,North American Ale,American-Style Stout,0.0,Upper Mississippi Brewing,41.8445,-90.1887
1314,Mullin Brown,North American Ale,American-Style Brown Ale,4.8,Upper Mississippi Brewing,41.8445,-90.1887
1314,Hefeweizen,German Ale,South German-Style Hefeweizen,4.2,Upper Mississippi Brewing,41.8445,-90.1887
1314,Pale Pale Boss Ale,North American Ale,American-Style Pale Ale,4.8,Upper Mississippi Brewing,41.8445,-90.1887
1314,Bartles and Lager,North American Lager,American-Style Lager,4.0,Upper Mississippi Brewing,41.8445,-90.1887
1315,Dundee Export 90 Scotch Ale,Other,Other,6.5,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Espresso Stout,Other,Other,0.0,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Gueuze-Lambic,Belgian and French Ale,Belgian-Style Fruit Lambic,6.5,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Blackstone Stout,North American Ale,American-Style Stout,5.9,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Oak Aged Ebenezer,Other,Other,9.4,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Double IPA,North American Ale,American-Style India Pale Ale,6.8,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Oak-Aged Belgian Tripel,Other,Other,9.0,Upstream Brewing Company at Legacy,41.2331,-96.1811
1315,Oak Aged IPA,Other,Other,6.0,Upstream Brewing Company at Legacy,41.2331,-96.1811
1316,Grand Cru,Other,Other,9.0,Upstream Brewing Old Market,41.2553,-95.9306
1316,Old Market Stout,North American Ale,American-Style Stout,0.0,Upstream Brewing Old Market,41.2553,-95.9306
1316,Irish Red,Other,Other,4.4,Upstream Brewing Old Market,41.2553,-95.9306
1316,Gold Coast Blonde Ale,North American Ale,Golden or Blonde Ale,4.4,Upstream Brewing Old Market,41.2553,-95.9306
1316,Firehouse ESB,British Ale,Extra Special Bitter,5.5,Upstream Brewing Old Market,41.2553,-95.9306
1316,American Wheat,Other Style,Light American Wheat Ale or Lager,4.7,Upstream Brewing Old Market,41.2553,-95.9306
1316,Dundee Scotch Ale,British Ale,Scotch Ale,6.5,Upstream Brewing Old Market,41.2553,-95.9306
1316,O! Gold Light Beer,North American Lager,American-Style Light Lager,3.8,Upstream Brewing Old Market,41.2553,-95.9306
